id,tweet,emoji
13073,100 free live sex cams 100 free registration Register now 100 Free Click Click,['collision']
13074,He knows the way to my heart  ,"['smiling_face', 'heart_suit', 'sparkles']"
13075,Hi guys theres another Audi A4 following ladies around Braam please be safe Please RT to save a life,['folded_hands']
13076,is about to come to Miami and heat it up,['face_with_tears_of_joy']
13077,RT For Taxi 7034454450,['backhand_index_pointing_right']
13078,START tear that ass up then,['face_with_tears_of_joy']
13079,Follow everyone who Likes this,['fire']
13080,OMG SOME ONE IS LOOKING SO HOTT YOU ARE KILLING ME CHANDU,['smiling_face_with_heart-eyes']
13081,she so ugly with out make up so I dropped and curved her ass rq Bria she made my day when she said this b,['face_with_tears_of_joy']
13082,Its fuckin lit Nintendo is bringing Mario Kart to smartphones,['fire']
13083,Lud Foe FOR XXL 2018 Or RIOT,['fire']
13084,Guy is turned off by Neos lips,['face_with_tears_of_joy']
13085,DO THE DANCE   ,"['raising_hands', 'raising_hands', 'raising_hands', 'fire']"
13086,cant believe i called some of u bitches my friends before embarrassing af,['face_with_tears_of_joy']
13087,Yes I did Can I call you with mommy too I wanna skip this one,['backhand_index_pointing_right']
13088,Hey Internet Guess who is going to be sharing my last name,['smiling_face_with_heart-eyes']
13089,Hardest scene in the movie,['fire']
13090,A Nike Tech tracksuit is a Hood tuxedo,['face_with_tears_of_joy']
13091,You are banned because of using 2 ids,['smiling_face']
13092,How to save your teammate from dying in the storm,['face_with_tears_of_joy']
13093,But be careful with Jiminhe looks young with it but His black hair can become dangerous too,['loudly_crying_face']
13094,Yo its 1415 and Im still in bed What is my problem,['face_with_rolling_eyes']
13095,Whos active Like RT dming some people this Vbucks method Must Follow me and,"['fire', 'party_popper']"
13096,WOW WOW YOURE MAKING CALIFORNIA GREAT AGAIN San Diego Board of Supervisors VOTED YES TO JOIN THE TRUMP LAWS,['folded_hands']
13097,I Miss You Too,['face_blowing_a_kiss']
13098,You ever look in the mirror like damn Im ugly as shit and just laugh,['face_with_tears_of_joy']
13099,Facebook the funniest app,['face_with_tears_of_joy']
13100,Jimin and beautiful sky,['smiling_face_with_heart-eyes']
13101,Look at it its like a little pillow of happiness,['weary_face']
13102,I wish I was a robot to vote with you guys 247 Challenge 1500 replies before I wake up in a few hours PLEASE,['loudly_crying_face']
13103,It sucks I know Just remember they are not your true tribe members,['red_heart']
13104,START Yo high key everyone get in my broadcast now i am marwadi boy,['smiling_face_with_sunglasses']
13105,this song dedicated to lmao,['rolling_on_the_floor_laughing']
13106,Now youre 21 ilysm samantha,['loudly_crying_face']
13107,A compilations of BTS cute mistakes on stage Must Watch,['face_with_tears_of_joy']
13108,me hi local white girl my boyfriend ignores me for fortnite,['loudly_crying_face']
13109,J Cole fans at their finest,['purple_heart']
13110,When is soon tweet I feel you Roy I feel you htt,['smiling_face_with_heart-eyes']
13111,Someday Im going to tell my son about it Son I was famous Taehyung htt,['purple_heart']
13112,won and finished top ten on Day 8 of Heres the recap,['backhand_index_pointing_down']
13113,That was really nice,['smiling_face_with_heart-eyes']
13114,iHeart Vote Rate Tweets RTs for Best Boy Band in the last hour 750am 850am KST 1 BTS 982K 2,['glowing_star']
13115,playing smite come watch me do some casual games if you want,['red_heart']
13116,So how many hrs more are we gonna trend,['face_with_tears_of_joy']
13117,START my very very fav beb day,['purple_heart']
13118,Sippin lean spittin fire,['fire']
13119,I done already caught a tan amp I hate it,['weary_face']
13120,The statement by the speaking out against Nigerian Pastor Tim Omotoso,['thinking_face']
13121,Wow This girl CAN sing,['loudly_crying_face']
13122,difference of jungkook and taehyung when a fan cried,['face_with_tears_of_joy']
13123,Your musket will have to do Youll just have to learn how to reload faster lad,['rolling_on_the_floor_laughing']
13124,Megan amp Courtney just won the leg Yayyy,['two_hearts']
13125,START If you want followers Retweet amp like this Follow all who RT amp like Followback everyone Turn my notificat,"['eyes', 'heavy_check_mark', 'heavy_check_mark', 'heavy_check_mark']"
13126,When you ask your boyf to pick you up a pair of leggings whilst hes in town,['loudly_crying_face']
13127,Man I thought I was sexually frustrated and aggressive Thanks for putting things into perspective Im ok now that I think about it,['face_with_tears_of_joy']
13128,Hell yeah guuys All this love is helping my recovery,['rolling_on_the_floor_laughing']
13129,How were liningup tonight City XI Ederson Walker Otamendi Laporte Fernandinho De Bruyne Silva C Sane Sterlin,['raising_hands']
13130,At this point Waffle House needs its own reality show,['face_with_tears_of_joy']
13131,BIIIH I KNOW A FEW,['face_with_tears_of_joy']
13132,Imagine being 50 years old and slating people 30 years younger than you on facebook go get some Botox you saggy wrinkle head,['face_with_tears_of_joy']
13133,Yall my cousin sent me this video and Im crying,['face_with_tears_of_joy']
13134,START my hands were shaking,['loudly_crying_face']
13135,hii omg youre so pretty i love your ig posts i love you so much you slayyy,['red_heart']
13136,START   yes friend,"['clapping_hands', 'clapping_hands', 'clapping_hands']"
13137,God Bless ,"['folded_hands', 'folded_hands']"
13138,Omg my snapchat updated on its own,['face_with_rolling_eyes']
13139,Voting for in my blood,['hundred_points']
13140,DraftKings NBA Tonight Main 9 Lineups Turbo 2 Lineups Night 4 Lineups Send a dm if you need lineups Kille,['fire']
13141,Im watching this scene again and again cant get enough of them,['red_heart']
13142,The Lady Bronchos lose in PKs Great season Keep your heads up ,['flexed_biceps']
13143,SUGA AND AKAASHI splatters to a wall in a corner,['smiling_face_with_heart-eyes']
13144,Outstanding Dropping Everywhere Tonight Including ITunes And Spotify,['hundred_points']
13145,Every purchase saves homeless dogs Save the dogs at,['smiling_face_with_heart-eyes']
13146,This dude set ground rules for his girl in terms of watching Infinity Wars and im blown away,['face_with_tears_of_joy']
13147,yooo this girl hella gorgeous wtf Or que la reina,['eyes']
13148,thanks homie for the jacket I love it,['yellow_heart']
13149,I understand that unfortunately,['crying_face']
13150,A happy ending for Elio and Oliver,['smiling_face_with_heart-eyes']
13151,Had to go in on this Drake beat Check my freestyle Where is Calabasas Soundcloud https,['backhand_index_pointing_down']
13152,I liked a video from MEET MY SISTER PTII love u nash,['yellow_heart']
13153,10 s Your tweet has been liked by 10 people,['red_heart']
13154,When I look around I see the good things hes done for me ,"['red_heart', 'folded_hands']"
13155,The Last Shawarma This one kinda took forever bits here and there after the trailer came out hope you guys like it,['beaming_face_with_smiling_eyes']
13156,Wow this is so real,['face_with_tears_of_joy']
13157,I believe that your work will be more recognized and memorable I love you Mrs Hartley you are a symbol of sexuality,['smiling_face_with_heart-eyes']
13158,Full trailer reached 2M views in both and fb account  ,"['folded_hands', 'flexed_biceps', 'clapping_hands']"
13159,START thank you my man,['face_with_tears_of_joy']
13160,If you like conspiracy theories even a little bit watch this video and check out all of the replies,['flushed_face']
13161,What are the odds that CNN will interview and replay footage 247 of this Parkland student Kyle Kashuv Zero zilch His m,['thinking_face']
13162,Next time Ill tag Jessicas bathroom,['face_with_tears_of_joy']
13163,START tweet needs more likes,['face_with_tears_of_joy']
13164,ManoftheMatch prizes from some African leagues Zimbabwe Crate of beer South Africa 5GB of data Ghana Pa,['face_with_tears_of_joy']
13165,A bit of feel good house with Mr last night,['raising_hands']
13166,New hair same thick ass available tomorrow downtown 12pm 10pm at,['sparkling_heart']
13167,This white dude tried to break in my mans PJ crib and he started whooping his ass,['skull']
13168,180102 withikonic IG Update Koo Junhoe,['smiling_face_with_heart-eyes']
13169,KKD NoonShow 66 Full Matinee Devimultiplex Screen 2 Add Chese Chance undi,"['OK_hand', 'thumbs_up']"
13170,The moment when Jiyong introduced himself as Kwon Jiyong not GD ,"['loudly_crying_face', 'red_heart']"
13171,When she come back from Miami after all that cheating,['face_with_tears_of_joy']
13172,START dawg that is funny Ill keep all them letters for when he old enough to see,['rolling_on_the_floor_laughing']
13173,Be a good one,['smiling_face_with_smiling_eyes']
13174,Started with my YouTube channel Do check this out friends My first video If u like it Plz do subscribe as well,['backhand_index_pointing_down']
13175,START Flash 48 hour sale All 184 of my videos are 75 OFF,"['glowing_star', 'glowing_star', 'right_arrow']"
13176,Chansey Zen HeadbuttHyper Beam IV 76 CP 1002 L 26 until 075236pm unknlat 2962463963 3amplon8236447,['female_sign']
13177,So touching his fanboys edited from gau 899s video,['loudly_crying_face']
13178,New Hair ,['female_sign']
13179,Where does you attitude come from              ,"['person_shrugging', 'female_sign', 'person_shrugging', 'female_sign', 'person_shrugging', 'female_sign', 'person_shrugging', 'female_sign', 'person_shrugging', 'female_sign', 'person_shrugging', 'female_sign', 'person_shrugging', 'female_sign']"
13180,Wishing you all a very loving day Today and Everyday ,['sparkling_heart']
13181,I like fun relationships where we can cap on eachother amp not get mad cant fw that serious stuff all the time ,"['person_shrugging', 'female_sign']"
13182,Men Lie Women Lie Numbers Dont,['hundred_points']
13183,START Welcome to Lawless Land Apna Bihar,['face_with_tears_of_joy']
13184,Ill always love you and by your side,['red_heart']
13185,Family Football or Djing Football djing football djing  ,"['person_shrugging', 'male_sign', 'face_with_tears_of_joy']"
13186,Thoughts and prayers to my boy and former Sooner Your Mom was a great lady with an inspiring outloo,['folded_hands']
13187,I Dont Want to Drink I Want to Swim,['face_with_tears_of_joy']
13188,Frozen Scotland version Via Stuart Irvine,['face_with_tears_of_joy']
13189,The moment David Beckham met Salt Bae,['face_with_tears_of_joy']
13190,Thats what I call love Ferhat is sucker for an epic love story,['OK_hand']
13191,tl filled with god sehun is heaven Have a great SEHUN day everyone as we celebrate the god himself,['smiling_face_with_heart-eyes']
13192,I fuck every good thing in my life up I swear,['loudly_crying_face']
13193,As expected of EXOLs Good job,['clapping_hands']
13194,everyone be like you looks so different todayyy,['thinking_face']
13195,some are a shoulder to cry on some are a dick to ride on lmaooo,['face_with_tears_of_joy']
13196,Yeah that sounds like my bestfriend ,"['person_facepalming', 'female_sign']"
13197,Well my flu is gone so I guess Ill put away Christmas tree and stuff,['face_with_rolling_eyes']
13198,John Legend needs to hurry up and sign this dog,['weary_face']
13199,Attendance time RETWEET If you are up amp Voting NonStop for Dont sleep tonight If someone needs Account,['collision']
13200,This account is very nice worth the follow up,['folded_hands']
13201,this gives me too much anxiety be safe camels,['weary_face']
13202,I post RT game with my sissy and within minutesdesperation,['face_with_tears_of_joy']
13203,I AM INLOVE WITH THIS,['smiling_face_with_heart-eyes']
13204,Kea is that a Khosi Nkosi Creation your wearing Child Its flames,['fire']
13205,Congrats Loved Get Out Keep it going,['folded_hands']
13206,Happybirthday gorgeous A enjoy it,['two_hearts']
13207,New Episode dropping this week told yall this non stop,['flexed_biceps']
13208,BoomBabes TastyMade W RTS  ,"['red_heart', 'heart_suit', 'heart_suit']"
13209,Finger nails for dinner tonight,['face_with_tears_of_joy']
13210,Can I experience this Thanks,['folded_hands']
13211,I feel like Im finally hitting puberty been breaking out like crazy,['loudly_crying_face']
13212,Its your smell ass stupid,['face_with_tears_of_joy']
13213,Retweet to see the uncovered,['winking_face']
13214,YALL ARE SOME CLOWNS,['skull']
13215,Good Morning I hope everyone has a great day Doing my part by following the Drs orders,"['smiling_face_with_smiling_eyes', 'rolling_on_the_floor_laughing']"
13216,We almost thought Ashanti was the late great she actually looks Church presentable,['red_heart']
13217,ARMY To Do iHeart vote Best Fan Army iHeart vote Best Boy Band Updated version Keep streaming BTS,"['trophy', 'trophy']"
13218,This With the trust once broken is hard to regain especially with the quality choice available elsewhere As for,['backhand_index_pointing_down']
13219,2018040 6 Happy MINGYUs Day,['heart_suit']
13220,Scariest dog Ive ever seen OH MY GOD,['skull']
13221,waffles beat pancakes any dayyy,['blue_heart']
13222,Cantaloupe Tits Madison Ivy Sex Compilation Streaming Full Video,"['backhand_index_pointing_down', 'backhand_index_pointing_down']"
13223,Our names in each others phones,['face_with_tears_of_joy']
13224,Morning campers have an amazing day,['beaming_face_with_smiling_eyes']
13225,Ilsan Light Festival,['sparkles']
13226,Mix studs with florals for a fun and flirty Valentines Day look,['red_heart']
13227,She Rlly SNAPPED Staying on topic about Nicki amp Cardi ,"['fire', 'clapping_hands', 'clapping_hands']"
13228,Updated 3003 10AM KST Melon NEW Genie 6 Naver 1 Bugs OUT Mnet 4 Soribada,['fire']
13229,HAPPY VALENTINES DAY to all of my friends and followers Especially those Trump Girls And even to Rosie O,['red_heart']
13230,Enjoy that one Gigi,['beaming_face_with_smiling_eyes']
13231,Nice choice Phil matching colours for the bride and bridesmaids,['OK_hand']
13232,Sigh If only Rainy was released the same day as others It would have gotten a lot of exposure Anyway this is what,['face_with_rolling_eyes']
13233,oh oh PS watch out for the LOreal Paris Elvive Comeback commercial thatll air live during the Grammys,['eyes']
13234,Omg this is brilliant,['rolling_on_the_floor_laughing']
13235,Confirmed for Saturdays Pukka Up Tropical Wonderland at Eden Ibiza Official Fan Page,['raising_hands']
13236,RT to bless someones timeline,['red_heart']
13237,6 weeks and 4 days,['beaming_face_with_smiling_eyes']
13238,LMAO cant wait to see it,['loudly_crying_face']
13239,I DO NOT party I DO NOT go out EVERY weekend like most girls my age I stay my ass home 258 Call me lame idddc ,"['face_with_rolling_eyes', 'female_sign']"
13240,Im crying anndjsjjdj I forgot about this why was season 1 of Bad Girls Club so wild,['skull']
13241,I need these magnets asap,['smiling_face_with_heart-eyes']
13242,its Jem and the Hollograms I LOVE IT,['face_with_tears_of_joy']
13243,When i hear little kids with manners,['loudly_crying_face']
13244,27 fonts for absolutely FREE thanks to Go grab yours via,['smiling_face_with_heart-eyes']
13245,im boreddd ,"['person_facepalming', 'female_sign']"
13246,item of your choice from must be following both of us to win,['red_heart']
13247,anyone wanna match dont all speak once,['face_with_rolling_eyes']
13248,Dude its uniom ,['winking_face']
13249,starting this year off real healthy,['face_blowing_a_kiss']
13250,Hope this goes viral,['face_with_tears_of_joy']
13251,AHHH GOOD ONE,['face_with_tears_of_joy']
13252,Fingertip era was the best,['red_heart']
13253,Gave me all the material for Titanic Britain Sue I even acknowledged them in it,['face_with_tears_of_joy']
13254,If youre reading this BETTER DAYS ARE COMING,['two_hearts']
13255,Happy 24th Birthday my Hazza,['smiling_face_with_heart-eyes']
13256,I lost it when he said maruchan ,['face_with_tears_of_joy']
13257,Until you get back and see the mess they did,['rolling_on_the_floor_laughing']
13258,START EMERGENCY again got some help from 2 big verified accounts so lets try and get this even and catch up for this,"['police_car_light', 'police_car_light']"
13259,I need to go to one of YOUR shows,['weary_face']
13260,New Meme Alert Caption and Retweet,['police_car_light']
13261,Follow everyone who Retweets this,['white_heavy_check_mark']
13262,Sex drive too high ,"['person_facepalming', 'male_sign']"
13263,Gotta have faith its gone come,['face_with_tears_of_joy']
13264,I was really over my birthday but it turned out good Thanks to my baby amp friends I kept it cute amp simple,['red_heart']
13265,Idk if its either real love or these mfs brazy,['face_with_tears_of_joy']
13266,tell me patapaa doesnt look like a mouse ,['male_sign']
13267,ALERT has been voting faster than us for almost 3 hours now 1 3052K 2 2792K,['loudly_crying_face']
13268,ill watch that shit ring then wait until it stops and continue with my day,['face_with_tears_of_joy']
13269,He was actually mad he couldnt do the shoot dance Im dead lmao,['face_with_tears_of_joy']
13270,Niggas be bout old asf and still dont be having their priorities straight but be trying to build with me like nigga get tf on now ,"['loudly_crying_face', 'female_sign']"
13271,1077 million records sold  This is why hes the RAP GOD it pretty much doesnt get any better than slim shady M,"['person_facepalming', 'male_sign']"
13272,VIXX saranghae game you lost if u smiled Hyogi is so cute here,['face_with_tears_of_joy']
13273,I stan the most compassionate humans,['loudly_crying_face']
13274,Denzel Curry is my boy right now SO FUCKING LYRICIST What a man bro,['smiling_face_with_smiling_eyes']
13275, next level ,"['female_sign', 'female_sign']"
13276,  Its always more fun to watch the Italian police in their work This afternoon in The left rabble,"['male_sign', 'face_with_tears_of_joy']"
13277,Want to a 128GB Google Pixel 2 is giving one away to a lucky winner Go enter,['backhand_index_pointing_right']
13278,Lil Terrio going crazy,['face_with_tears_of_joy']
13279,am I too late,['heart_suit']
13280,People really think theyre intelligent because they listen to J Cole,['face_with_tears_of_joy']
13281,im very active follow me,['red_heart']
13282,Dior Mens Show,['red_heart']
13283,START  Only people with NO communication skills think everything is an argument,"['speaking_head', 'male_sign']"
13284,Thats us with her,['face_with_tears_of_joy']
13285,I was singing the Mickey Mouse hot dog song to my baby and he was smiling at me and now Im crying bc hes the cutest thing ever,['weary_face']
13286,Youre the Greatest,['red_heart']
13287,Jhope We are practicing the choreography recently  omg omg omg From Puma fan sign meeting,"['person_facepalming', 'female_sign']"
13288,Ive said it before and Ill say it again roses and sunflower combo are the most gorgeous thing ever,['smiling_face_with_heart-eyes']
13289,What ever happened to K Camp,['rolling_on_the_floor_laughing']
13290,Gain 500 active followers fast Retweet Follow everyone Follow back,"['backhand_index_pointing_right', 'backhand_index_pointing_right', 'backhand_index_pointing_right']"
13291,Dad you cant drown no alligator they live in water thats they habitat ,['skull']
13292,thats sad ,"['person_facepalming', 'female_sign']"
13293,Vvvv nice good morning and God bless you Dhan dhan satguru tera hi aasra ji N My dear friend,['folded_hands']
13294,Thank You for the LOVE,['folded_hands']
13295,Ross explaining his marriage history,['face_with_tears_of_joy']
13296,Yo I just drove past it and it took everything in me to not stop and get some,['loudly_crying_face']
13297,89 Year old Japanese woman discovers photography 17 years ago amp cant stop taking hilarious self portraits now  htt,"['sparkles', 'two_hearts']"
13298,HE AINT THE KING FOR NO REASON BABY GET THAT BOY OFF HIM,['fire']
13299,Keep spreading and listening NIGHTRIDER out now,['fire']
13300,Congrats to these two IGot 7 are proud of you and will always be MarkBam,['red_heart']
13301,LMFAO i didnt order that I ordered an Xbox card ,['face_with_tears_of_joy']
13302,Jace needs some sleep My poor boy But he cant,['loudly_crying_face']
13303,Thank you MIC DROP,['smiling_face_with_smiling_eyes']
13304,Keep it Coming Dont stop till 430pm,['thumbs_up']
13305,Syria wonders what John Bolton x gas attack on own people,['collision']
13306,Oh my goodness The day has come I got my wings My childhood dream my ultimate goal the prize I never took my,['smiling_face_with_heart-eyes']
13307,Theres only one Oklahoma team that didnt sweep KU this year,['clapping_hands']
13308,Who all remember dis,['face_with_tears_of_joy']
13309,Barry Obama the scandal free President What a JOKE If you believe that I should introduce,['face_with_tears_of_joy']
13310,Angelina Brills Tight Pussy gets Fucked in Public JOIN NOW to enjoy the complete scene F,['sparkles']
13311,Whats something WEIRD yall did as a kid Ill start I use to try n pee like a boy ,"['loudly_crying_face', 'female_sign']"
13312,oh my God im too affected by this lilly not addressing her hair,['face_with_tears_of_joy']
13313,There are years that ask questions and years that answer the answer,['red_heart']
13314,START Get your marching shoes ready Rapid response marches now officially will occur if EITHER Mueller OR Rosenstein is fired,['double_exclamation_mark']
13315,yall boos really love yall on a different level,['loudly_crying_face']
13316,Wind 360 Balance Keep balanced in the backGood throw,['right_arrow']
13317,SEVENTEENTH GOAL 800 RTS 500 REPLIES Keep going How fast can we get this goal,"['double_exclamation_mark', 'eyes']"
13318,Taemin amp Minho      style  Balenciaga,"['smiling_face', 'smiling_face', 'smiling_face', 'smiling_face', 'smiling_face', 'smiling_face', 'red_heart']"
13319,If Nike wouldve done the DBZ collab instead it wouldve been a success ,"['person_facepalming', 'male_sign']"
13320,Best bowling figures in the psl history by shaheen Afridi 34 overs 4 runs and 5 wickets,['clapping_hands']
13321,Im so proud of you guys I LOVE YOU,['red_heart']
13322,Know the difference between enjoying your youth amp destroying your future ,"['person_facepalming', 'male_sign']"
13323,oh btw this is how the kino album works hehehehehe i love it Esp the colourful sing along lyrics,['smiling_face_with_heart-eyes']
13324,Why is Angela Simmons so fine,['weary_face']
13325,This trick play is legendary,['face_with_tears_of_joy']
13326,4 Gs God Goals Growing amp Grinding ,['speaking_head']
13327,Honestly cant wait till Im married and have my own family,['heart_suit']
13328,V ARMY Please Vote  MIC DROP,"['backhand_index_pointing_down', 'loudly_crying_face']"
13329,Win Bowie Knife Boreal Forest in 48hr Go RTampLike,['trophy']
13330,I had a great day yesterday amp a good morning today ,"['smiling_face', 'folded_hands']"
13331,Have that COME ON YOU LILLYWHITES,['face_with_tears_of_joy']
13332,how im tryna be w oomf,['smiling_face_with_heart-eyes']
13333,I love you so much ,"['heart_suit', 'heart_suit']"
13334,Yesss Also this month is too damn long,['face_with_tears_of_joy']
13335,Have you ever wondered what your dog named you,['face_with_tears_of_joy']
13336,DO NOT REFRESH MY TL UNLESS I CHOOSE TOO I be in the middle of reading a tweet then its gone for good man,['face_with_rolling_eyes']
13337,Dear this song is lit Have a listen,['red_heart']
13338,Cant come to without having a little wine,['smiling_face_with_heart-eyes']
13339,goes ONLINE For more information,['backhand_index_pointing_right']
13340,My fans are angels amazing Bday gift from fans love you,"['red_heart', 'folded_hands']"
13341,t shanna ou hhhilton lgazon ,['loudly_crying_face']
13342,START Show your power PHILIPPINES ARMYs 1,['fire']
13343,The Big Breakfast Retweet if you ever went to school or work late because you were watching and laughing,['face_with_tears_of_joy']
13344,A shared that bible verse Why that verse Coz A knows that some of them are bashing shading M its,['smiling_face_with_smiling_eyes']
13345,WOOO and MADE US TONIGHT YESSS h,['party_popper']
13346,Working on a technical talk topic while at Thanks for organising and,['party_popper']
13347,BTS V OFFICIAL Run and run again RUN BTS Previews April 17th 2018 900 PM KST RUN BTS 2017 Epi 49 V LIVE,['eyes']
13348,The dogs reaction when the cat jabs him,['loudly_crying_face']
13349,Photo 180211 Day 2,['two_hearts']
13350,START I love SKATER PARKZ TRENDY SALE EVERYTHING IS 000 AND YOU JUST PAY SHIPPING UNLIMITED ITEMS at checkout h,['flushed_face']
13351,Is your teen texting about Totos Africa igtatdmafu its gonna take a lot to drag me away from you tnt momced ther,['hundred_points']
13352,Face Mask w My Love Bug ,['female_sign']
13353,about too spend all night catching up on dragon ball Z super so happy they took a break this week,['loudly_crying_face']
13354,RT amp FOLLOW to enter to WIN a Belt the Belt Grooming kit Fresh amp Dry Balls Instant Clean Balls Sports Lubricant http,"['white_heavy_check_mark', 'white_heavy_check_mark', 'white_heavy_check_mark', 'right_arrow']"
13355,START Toast Time ARMYS THANK YOU FOR VOTING HARD FOR 2 MONTHS CONGRATS EVERYONE NOW SHARE YOUR,"['party_popper', 'party_popper']"
13356,You know youve been on Twitter too long when you can hear birds chirping outside your window,['flushed_face']
13357,i hope you have a lovely day today youre incredible and never change for the world,['yellow_heart']
13358,hanbin will turn his phone off again so yall know what to do already give Rubber Band lots of love and wake hanbin up,"['winking_face', 'OK_hand']"
13359,Im not losing My Mom,['hundred_points']
13360,I wanna like and retweet all,['hundred_points']
13361,Didnt mean to hurt you baby thats what thugs do,['weary_face']
13362,They dunnothe funniest tin is that they dnt organize a Single one fr d Prophet like this one of Inyass,['beaming_face_with_smiling_eyes']
13363,Some things to keep in mind Make sure to avoid using VPN for streaming Keep requesting BTS songs for TV segmentsyo,['heavy_check_mark']
13364,Id like some money please Nothing hectic just R30 000 Thanks so much,['two_hearts']
13365,Love being ignored,['face_with_tears_of_joy']
13366,before the night ends,['smiling_face_with_heart-eyes']
13367,Leave your message here and then stranger on my face,['smiling_face_with_sunglasses']
13368,I refuse to end this year with any of the same problems I started it with,['clapping_hands']
13369,she NEVER fails to make my day,['face_with_tears_of_joy']
13370,make a LivePD spoof,['folded_hands']
13371,GOD IS GOOD GOD IS GOOD GOD IS GOOD GOD IS GOOD GOD IS GOOD ALL THE TIME,"['smiling_face_with_heart-eyes', 'smiling_face_with_heart-eyes', 'smiling_face_with_heart-eyes', 'smiling_face_with_heart-eyes', 'smiling_face_with_heart-eyes', 'double_exclamation_mark']"
13372,Morphe 39A palette must be following me and to win,['purple_heart']
13373,My baby gonna b two Friday,['loudly_crying_face']
13374,Laughed WAY too hard at this,['face_with_tears_of_joy']
13375,Hanbin amp Hanbyul after LOSING a round vs after WINNING a round,['rolling_on_the_floor_laughing']
13376,I love how Im not even Edwin anymore Im officially Eggwin even my friends are in on it,"['face_with_tears_of_joy', 'face_with_tears_of_joy']"
13377,On the court at being recognized for the B1G Championship amp Cotton Bowl,['trophy']
13378,Nando abt to come in clutch,['double_exclamation_mark']
13379,India was regarded backward for using Ayurvedic now hits backward era,"['face_with_tears_of_joy', 'face_with_tears_of_joy']"
13380,START  Retweet this   Follow all that Like amp Retweet  Follow back all that follow you gain with F,"['red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart', 'red_heart']"
13381,Miss you my love,['face_blowing_a_kiss']
13382,PHOTO Bob does Bellamy call Clarke princess in season 5 This was his face and he couldnt remember,['face_with_tears_of_joy']
13383,I stopped breathing for some seconds there,['flushed_face']
13384,She brought me ChickfilA because she felt bad,['skull']
13385,Theres only one trophy Belichick cares about,['face_with_tears_of_joy']
13386,This is about what I like This is my fantasy who cares what he wants to eat,['face_with_tears_of_joy']
13387,rt this to gain seventeen stan mutuals follow everyone who retweets this and make sure to follow back,['sparkles']
13388,Love Yourself Her BTS,['trophy']
13389,Or the places I go I dont think its worth wasting a good outfit on ,"['loudly_crying_face', 'female_sign']"
13390,going for there rc great team keep up the good work guys,['thumbs_up']
13391,Head in the clouds,['smiling_face']
13392,Hanbyuls love for her plushie  Blessed birthday Hanbin and iKONICS little princess,['red_heart']
13393,Yea I was thinking about the birthday scout since they both have spring bdays aww AND THANK,['loudly_crying_face']
13394,They are on fire so many will watch,['fire']
13395,A mixture of BITCH WOT amp eye roll shakes head,['face_with_tears_of_joy']
13396,i didnt kno they made stamps from that iconic photo of a guerrilla fighter capturing a us pilot,['smiling_face_with_heart-eyes']
13397,65M REAL TIME VIEWS less than 12 hrs ALL TIME RECORD,['smiling_face_with_sunglasses']
13398,Yes Barca Shocking keeping from Courtois though,['eyes']
13399,START Register for free and see me live now Register for free im online now https,['collision']
13400,And the best picture of 2018 so far goes to the beautiful blonde bombshells and,['smiling_face_with_heart-eyes']
13401,Glory be to GOD,['folded_hands']
13402,Always thankful Im not in jail or 6 feet under everyday,['raising_hands']
13403,THE WEEKND A FAIT UN FEAT AVEC DRAKE XXXTENTACION TRAVIS SCOTT ET LANA DEL REY,['loudly_crying_face']
13404,Hold up Drake fucking snapped on this joint Look Alive,['fire']
13405,THIS IS NOT GOOD Our voting rate dropped a lot this hour and has pretty much maintained theirs 1 BTSARMY 5,['police_car_light']
13406,She looks so gorgeous here,['smiling_face_with_heart-eyes']
13407,Will pull up bro,['raising_hands']
13408,Sehun We can see it very clearly today regarding the fan project Junmyeon Seems like nobody changed seats today cr,['face_with_tears_of_joy']
13409,Took the words right out my mouth,['face_with_tears_of_joy']
13410,He really a whole asshole ,"['face_with_tears_of_joy', 'male_sign']"
13411,No disrespect but I thought this was David Spade,['loudly_crying_face']
13412,My mom aint going down cause of you ,['male_sign']
13413,Check out my music OxLeon Money In The Walls OUT NOW OxLeon Money In The,"['hundred_points', 'fire']"
13414,START Chart 11 0300 13361 Mnet Genie Melon 2 Bugs 3 Naver Youtube,['fire']
13415,New damn so fucking hot httpst,['two_hearts']
13416,South Africa is a joke all around,['rolling_on_the_floor_laughing']
13417,iHeart Vote Rate Tweets RTs for Best Fan Army in the last hour 815am 915am 1 BTSARMY 2744K ,['fire']
13418,Check out my Interview Top Ten bangers right now with OkayAfrica,['smiling_face_with_sunglasses']
13419,Help a brother 10k Retweets in 7 days,['folded_hands']
13420,IF UR ART IS POOR KEEP DRAWING IF UR WRITING IS WEAK KEEP TYPING IF UR MUSIC IS LACKING KEEP CREATING DONT LET,"['speaking_head', 'speaking_head', 'speaking_head']"
13421,Approaching 5k very soon Heres an early thank you to everyone whos supported us from the start Much love,['red_heart']
13422,START Were giving away this cute Hognob toy from PLUS 4 Safari Park Tickets 4 Theme,"['police_car_light', 'backhand_index_pointing_down']"
13423,Lol the beard is ours the makeup aint theirs Idk what to tell you about the hats,['rolling_on_the_floor_laughing']
13424,I know its gonna be sum juicy when I get that text,['face_with_tears_of_joy']
13425,I will never get over how cute this is,['smiling_face_with_heart-eyes']
13426,amp im damn good at too ,"['person_shrugging', 'female_sign']"
